 * Serving Flask app 'server'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:9543
 * Running on http://172.17.0.2:9543
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 138-778-947
172.21.0.3 - - [07/May/2024 23:31:16] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:31:19] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:31:25] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:31:34] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:31:34] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:31:59] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:32:08] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:32:09] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:32:12] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:32:26] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:32:32] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:32:41] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:32:45] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:33:04] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:33:10] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:33:16] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:33:22] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:33:24] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:33:29] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:33:29] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:33:37] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:33:46] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:34:19] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:34:52] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:34:54] "POST /record_run HTTP/1.1" 200 -
